133;0000000010000101;0000000010000101011010110100110
134;0000000010000110;0000000010000110010010101010111
135;0000000010000111;0000000010000111010101011111000
136;0000000010001000;0000000010001000111100111001101
137;0000000010001001;0000000010001001111011001100010
138;0000000010001010;0000000010001010110011010010011
139;0000000010001011;0000000010001011110100100111100
140;0000000010001100;0000000010001100100011101110001
141;0000000010001101;0000000010001101100100011011110
142;0000000010001110;0000000010001110101100000101111
143;0000000010001111;0000000010001111101011110000000
144;0000000010010000;0000000010010000111000111101010
145;0000000010010001;0000000010010001111111001000101
146;0000000010010010;0000000010010010110111010110100
147;0000000010010011;0000000010010011110000100011011
148;0000000010010100;0000000010010100100111101010110
149;0000000010010101;0000000010010101100000011111001
150;0000000010010110;0000000010010110101000000001000
151;0000000010010111;0000000010010111101111110100111
152;0000000010011000;0000000010011000000110010010010
153;0000000010011001;0000000010011001000001100111101
154;0000000010011010;0000000010011010001001111001100
155;0000000010011011;0000000010011011001110001100011
156;0000000010011100;0000000010011100011001000101110
157;0000000010011101;0000000010011101011110110000001
158;0000000010011110;0000000010011110010110101110000
159;0000000010011111;0000000010011111010001011011111
160;0000000010100000;0000000010100000110000110100100
161;0000000010100001;0000000010100001110111000001011
162;0000000010100010;0000000010100010111111011111010
163;0000000010100011;0000000010100011111000101010101
164;0000000010100100;0000000010100100101111100011000
165;0000000010100101;0000000010100101101000010110111
166;0000000010100110;0000000010100110100000001000110
167;0000000010100111;0000000010100111100111111101001
168;0000000010101000;0000000010101000001110011011100
169;0000000010101001;0000000010101001001001101110011
170;0000000010101010;0000000010101010000001110000010
171;0000000010101011;0000000010101011000110000101101
172;0000000010101100;0000000010101100010001001100000
173;0000000010101101;0000000010101101010110111001111
174;0000000010101110;0000000010101110011110100111110
175;0000000010101111;0000000010101111011001010010001
176;0000000010110000;0000000010110000001010011111011
177;0000000010110001;0000000010110001001101101010100
178;0000000010110010;0000000010110010000101110100101
179;0000000010110011;0000000010110011000010000001010
180;0000000010110100;0000000010110100010101001000111
181;0000000010110101;0000000010110101010010111101000
182;0000000010110110;0000000010110110011010100011001
183;0000000010110111;0000000010110111011101010110110
184;0000000010111000;0000000010111000110100110000011
185;0000000010111001;0000000010111001110011000101100
186;0000000010111010;0000000010111010111011011011101
187;0000000010111011;0000000010111011111100101110010
188;0000000010111100;0000000010111100101011100111111
189;0000000010111101;0000000010111101101100010010000
190;0000000010111110;0000000010111110100100001100001
191;0000000010111111;0000000010111111100011111001110
192;0000000011000000;0000000011000000100000100111000
193;0000000011000001;0000000011000001100111010010111
194;0000000011000010;0000000011000010101111001100110
195;0000000011000011;0000000011000011101000111001001
196;0000000011000100;0000000011000100111111110000100
197;0000000011000101;0000000011000101111000000101011
198;0000000011000110;0000000011000110110000011011010
199;0000000011000111;0000000011000111110111101110101
200;0000000011001000;0000000011001000011110001000000
201;0000000011001001;0000000011001001011001111101111
202;0000000011001010;0000000011001010010001100011110
203;0000000011001011;0000000011001011010110010110001
204;0000000011001100;0000000011001100000001011111100
205;0000000011001101;0000000011001101000110101010011
206;0000000011001110;0000000011001110001110110100010
207;0000000011001111;0000000011001111001001000001101
208;0000000011010000;0000000011010000011010001100111
209;0000000011010001;0000000011010001011101111001000
210;0000000011010010;0000000011010010010101100111001
211;0000000011010011;0000000011010011010010010010110
212;0000000011010100;0000000011010100000101011011011
213;0000000011010101;0000000011010101000010101110100
214;0000000011010110;0000000011010110001010110000101
215;0000000011010111;0000000011010111001101000101010
216;0000000011011000;0000000011011000100100100011111
217;0000000011011001;0000000011011001100011010110000
218;0000000011011010;0000000011011010101011001000001
219;0000000011011011;0000000011011011101100111101110
220;0000000011011100;0000000011011100111011110100011
221;0000000011011101;0000000011011101111100000001100
222;0000000011011110;0000000011011110110100011111101
223;0000000011011111;0000000011011111110011101010010
224;0000000011100000;0000000011100000010010000101001
225;0000000011100001;0000000011100001010101110000110
226;0000000011100010;0000000011100010011101101110111
227;0000000011100011;0000000011100011011010011011000
228;0000000011100100;0000000011100100001101010010101
229;0000000011100101;0000000011100101001010100111010
230;0000000011100110;0000000011100110000010111001011
231;0000000011100111;0000000011100111000101001100100
232;0000000011101000;0000000011101000101100101010001
233;0000000011101001;0000000011101001101011011111110
234;0000000011101010;0000000011101010100011000001111
235;0000000011101011;0000000011101011100100110100000
236;0000000011101100;0000000011101100110011111101101
237;0000000011101101;0000000011101101110100001000010
238;0000000011101110;0000000011101110111100010110011
239;0000000011101111;0000000011101111111011100011100
240;0000000011110000;0000000011110000101000101110110
241;0000000011110001;0000000011110001101111011011001
242;0000000011110010;0000000011110010100111000101000
243;0000000011110011;0000000011110011100000110000111
244;0000000011110100;0000000011110100110111111001010
245;0000000011110101;0000000011110101110000001100101
246;0000000011110110;0000000011110110111000010010100
247;0000000011110111;0000000011110111111111100111011
248;0000000011111000;0000000011111000010110000001110
249;0000000011111001;0000000011111001010001110100001
250;0000000011111010;0000000011111010011001101010000
251;0000000011111011;0000000011111011011110011111111
252;0000000011111100;0000000011111100001001010110010
253;0000000011111101;0000000011111101001110100011101
254;0000000011111110;0000000011111110000110111101100
255;0000000011111111;0000000011111111000001001000011
256;0000000100000000;0000000100000000000100101101010
257;0000000100000001;0000000100000001000011011000101
258;0000000100000010;0000000100000010001011000110100
259;0000000100000011;0000000100000011001100110011011
260;0000000100000100;0000000100000100011011111010110
261;0000000100000101;0000000100000101011100001111001
262;0000000100000110;0000000100000110010100010001000
263;0000000100000111;0000000100000111010011100100111
264;0000000100001000;0000000100001000111010000010010
265;0000000100001001;0000000100001001111101110111101
266;0000000100001010;0000000100001010110101101001100
267;0000000100001011;0000000100001011110010011100011
